Title,Description,Project,Labels,Priority,State
"F00 - Repository Bootstrap","Goal: Create a minimal Go project skeleton so sequential features can execute. Scope: go.mod/go.sum, cmd/athena/main.go, initial internal/* package dirs, baseline test harness. Acceptance: go test ./...; go run ./cmd/athena --help. DoD: repository is buildable/testable for downstream features.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F01 - Core Config and Contracts","Goal: Implement config loading, defaults, and schema structs for athena.toml. Dependencies: F00. Scope: internal/config and precedence helpers. Acceptance: go test ./internal/config -v plus table-driven precedence tests.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F02 - Error Taxonomy + JSON Envelope","Goal: Implement shared response envelope and error model. Dependencies: F01. Scope: internal/errors, error_code/actionable_fix/policy_id, JSON envelope helpers. Acceptance: go test ./internal/errors -v; go test ./internal/cli -run TestJSONEnvelope -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F03 - Capabilities Command","Goal: Implement machine-readable capability negotiation. Dependencies: F01,F02. Scope: internal/capabilities and athena capabilities --format json. Acceptance: go test ./internal/capabilities -v with snapshot stability tests.","Athena CLI Buildout","athena,agent-executable,phase-sequential",2,Backlog
"F04 - Locking + Journaling Foundation","Goal: Implement lock manager and journal primitives. Dependencies: F01,F02. Scope: internal/lock and execution journal primitives. Acceptance: go test ./internal/lock -v; go test ./internal/execution -run TestJournalPrimitives -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F05 - Plan / Apply / Rollback Engine","Goal: Implement two-phase execution and transactions. Dependencies: F04. Scope: athena plan/apply/rollback, plan persistence, preconditions, tx lifecycle events. Acceptance: go test ./internal/execution -v with plan->apply->failure->rollback integration test.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F06 - Scaffold Init + Upgrade","Goal: Implement managed file lifecycle with checksums/backups/conflict handling. Dependencies: F01,F04,F05. Scope: internal/scaffold, init conflict resolution, upgrade backups, dry-run. Acceptance: go test ./internal/scaffold -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F07 - Notes + Validation + Schema Evolution","Goal: Implement note frontmatter contract and migration engine. Dependencies: F01,F02,F05. Scope: internal/notes, internal/validate, check read-only + check --fix. Acceptance: go test ./internal/validate -v; go test ./internal/notes -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F08 - Index + GC + Report Baseline","Goal: Implement index generation, GC, and baseline metrics. Dependencies: F07. Scope: internal/index, internal/gc, internal/report. Acceptance: go test ./internal/index -v; go test ./internal/gc -v; go test ./internal/report -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",2,Backlog
"F09 - Telemetry with Token Correlation","Goal: Implement telemetry schema and token/run linkage. Dependencies: F08,F02. Scope: internal/telemetry, run_id/task/model/token/cost fields, telemetry_coverage support. Acceptance: go test ./internal/telemetry -v and partial coverage report tests.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F10 - Context Integration (Repomix)","Goal: Implement context pack/mcp/budget wrappers. Dependencies: F01,F02,F09. Scope: internal/context, profile resolution, passthrough args, strict budget enforcement. Acceptance: go test ./internal/context -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",2,Backlog
"F11 - Security Scan + Doctor","Goal: Implement tool orchestration diagnostics. Dependencies: F01,F02,F09. Scope: internal/security, internal/doctor, json/sarif report artifacts. Acceptance: go test ./internal/security -v; go test ./internal/doctor -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F12 - Policy Gate","Goal: Implement machine-readable PR/revision policy gating. Dependencies: F07,F10,F11. Scope: internal/policy, failures with policy_id/severity/summary/fix_hint. Acceptance: go test ./internal/policy -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F13 - Commit Lint + Changelog + Hooks","Goal: Implement conventional commits tooling and changelog generation. Dependencies: F01,F02. Scope: internal/commitlint, internal/changelog, internal/hooks. Acceptance: go test ./internal/commitlint -v; go test ./internal/changelog -v; go test ./internal/hooks -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",2,Backlog
"F14 - Release Propose / Approve with Gates","Goal: Implement autonomous release assistant with approval gates. Dependencies: F12,F13,F05. Scope: internal/release, proposal artifact, approve with staleness checks. Acceptance: go test ./internal/release -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F15 - Optimize Recommend","Goal: Implement bounded optimization proposals from telemetry outcomes. Dependencies: F09,F10,F11. Scope: internal/optimize recommendation generation only. Acceptance: go test ./internal/optimize -v.","Athena CLI Buildout","athena,agent-executable,phase-sequential",2,Backlog
"F16 - CLI Wiring and End-to-End Contracts","Goal: Wire all commands/flags and finalize JSON contracts. Dependencies: F01-F15. Scope: internal/cli, cmd/athena/main.go, completion, global flags, policy propagation. Acceptance: go test ./internal/cli -v; go test ./...","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
"F17 - Hardening + Golden + Integration Suite","Goal: Finalize deterministic behavior and regression protection. Dependencies: F16. Scope: golden tests and integration tests across plan/apply/rollback/release gating. Acceptance: go test ./... and CI green.","Athena CLI Buildout","athena,agent-executable,phase-sequential",1,Backlog
